principio_activo,nombre_comercial,potencia,potencia_valor,potencia_unidad,contenido,presentación,laboratorio
Acenocumarol,Acenocoumarol Rospaw,4 Mg,4.0,Mg,20,Comprimidos,Rospaw
Acenocumarol,Azecar,4 Mg,4.0,Mg,30,Comprimidos,Bago
Acenocumarol,Fortonol,4 Mg,4.0,Mg,20,Comprimidos,Microsules Arg.
Acenocumarol,Sintrom,4 Mg,4.0,Mg,20,Comprimidos,Nova Argentia
Acetazolamida,Diabo,250 Mg,250.0,Mg,50,Comprimidos,Max Vision
Acetilcarnitina,Neurex,500 Mg,500.0,Mg,40,Comprimidos,Beta
Acetilcarnitina,Neuroactil,nan,,nan,30,Comprimidos,Bago
Acetilcisteina,Acc Expectorante,600 Mg,600.0,Mg,10,Comprimidos,Novartis - Sando
Acetilcisteina,Acc Expectorante,600 Mg,600.0,Mg,20,Comprimidos,Novartis - Sando
Acetilcisteina,Acemuk,600 Mg,600.0,Mg,10,Tabletas,Investi
Acetilcisteina,Acemuk,600 Mg,600.0,Mg,20,Tabletas,Investi
Acetilcisteina,Acemuk Jarabe,nan,,nan,100,Jarabe/Tonico,Investi
Acetilcisteina,Acetilcisteina Teva,600 Mg,600.0,Mg,10,Comprimidos,Teva Argentina (Ex Ivax Arg)
Acetilcisteina,Antusel,600 Mg,600.0,Mg,10,Sobres,Gador
Acetilcisteina,Broncolium,600 Mg,600.0,Mg,10,Comprimidos,Temis-Lostalo
Acetilcisteina,Broncolium,nan,,nan,100,Jarabe/Tonico,Temis-Lostalo
Acetilcisteina,Cistefort,600 Mg,600.0,Mg,20,Sobres,Fortbenton
Acetilcisteina,Cistefort,600 Mg,600.0,Mg,10,Sobres,Fortbenton
Acetilcisteina,Denvermuc,600 Mg,600.0,Mg,10,Sobres,Denver Farma
Acetilcisteina,Dosomuk,600 Mg,600.0,Mg,10,Comprimidos,Beta
Acetilcisteina,Dosomuk,600 Mg,600.0,Mg,20,Comprimidos,Beta
Acetilcisteina,Maxvan,600 Mg,600.0,Mg,10,Comprimidos,Vannier
Acetilcisteina,Maxvan,600 Mg,600.0,Mg,20,Comprimidos,Vannier
Acetilcisteina,Qura Muk,600 Mg,600.0,Mg,20,Comprimidos,Bernabo
Acetilcisteina,Qura Muk,600 Mg,600.0,Mg,10,Comprimidos,Bernabo
Acetilcisteina,Qura Muk,nan,,nan,100,Jarabe/Tonico,Bernabo
Acetilcisteina,Tempotane,600 Mg,600.0,Mg,10,Sobres,Lazar
Acetilcisteina,Tempotane,600 Mg,600.0,Mg,20,Sobres,Lazar
Acetilcisteina,Tempotane,nan,,nan,100,Jarabe/Tonico,Lazar
Acetilcisteina,Toflux,200 Mg,200.0,Mg,20,Sobres,Casasco
Acetilcisteina,Toflux,600 Mg,600.0,Mg,10,Sobres,Casasco
Acetilcisteina,Toflux,600 Mg,600.0,Mg,20,Sobres,Casasco
Acetilcisteina,Toflux,nan,,nan,100,Jarabe/Tonico,Casasco
"Acetilsalicilico,Ac.",Aspirina Prevent,100 Mg,100.0,Mg,20,Comprimidos,Bayer (Ph)
"Acetilsalicilico,Ac.",Aspirina Prevent,100 Mg,100.0,Mg,50,Comprimidos,Bayer (Ph)
"Acetilsalicilico,Ac. + Vit.C + Vit.E",Cardiax,nan,,nan,30,Comprimidos,Sidus
"Acexamico,Ac. + Asoc.",Restaurene,nan,,nan,20,Pomada,Teva Argentina (Ex Ivax Arg)
Aciclovir,Acerpes,5%,5.0,%,5,Crema,Investi
Aciclovir,Acerpes,400 Mg,400.0,Mg,20,Comprimidos,Investi
Aciclovir,Acerpes,800 Mg,800.0,Mg,20,Comprimidos,Investi
Aciclovir,Dioxis (Ex Aciclo),nan,,nan,5,Crema,Microsules Arg.
